Episode 2110, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 22448.8462
Episode 2120, Steps: 11, Reward: -4955, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 21225.6943
Episode 2130, Steps: 11, Reward: -4955, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 19233.9748
Episode 2140, Steps: 11, Reward: -4955, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 17426.0802
Episode 2150, Steps: 12, Reward: -4951, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 20138.5983
Episode 2160, Steps: 11, Reward: -4955, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 18121.1215
Episode 2170, Steps: 11, Reward: -4955, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 18078.3701
Episode 2180, Steps: 14, Reward: -4948, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 18267.1330
Episode 2190, Steps: 14, Reward: -4948, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 21066.2735
Episode 2200, Steps: 11, Reward: -4944, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 21413.5401
Episode 2210, Steps: 11, Reward: -4955, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 19010.8197
Episode 2220, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 17728.2854
Episode 2230, Steps: 10, Reward: -4964, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 17748.4839
Episode 2240, Steps: 11, Reward: -4955, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 17795.1367
Episode 2250, Steps: 14, Reward: -4945, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 19658.2549
Episode 2260, Steps: 16, Reward: -4931, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 16804.6156
Episode 2270, Steps: 10, Reward: -4965, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 18310.4102
Episode 2280, Steps: 13, Reward: -4953, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 15628.1874
Episode 2290, Steps: 37, Reward: -4981, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 17642.9482
Episode 2300, Steps: 11, Reward: -4955, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 15002.2232
Episode 2310, Steps: 11, Reward: -4955, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 17902.0562
Episode 2320, Steps: 11, Reward: -4955, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 19885.8609
Episode 2330, Steps: 11, Reward: -4955, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 17995.3222
Episode 2340, Steps: 1673, Reward: -6640, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 32242.6021
Episode 2350, Steps: 199, Reward: -5065, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 4659.8790
Episode 2360, Steps: 1339, Reward: -6172, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 4125.1429
Episode 2370, Steps: 16, Reward: -5000, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 7106.2377
Episode 2380, Steps: 103, Reward: -4947, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 7891.7463
Episode 2390, Steps: 1999, Reward: -1921, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 4031.4696
Episode 2400, Steps: 121, Reward: -5113, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 2749.5497
Episode 2410, Steps: 1999, Reward: -1843, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 708.5981
Episode 2420, Steps: 102, Reward: -5095, Max Reward: 3736, Epsilon: 0.0100, Avg Loss: 475.2228
